MSE:  89.7083116883
[52 79 58 79 73 67 56 41 66 60 26 60 69 46 28 68 27 79 80 82 76 26 70 80 75
 42 74 24 28 27 64 34 23 41 30 70 80 78 63 78 53 75 82 33 66 49 39 26 25 57
 25 79 24 48 34 83 75 76 24 60 68 73 40 61 24 28 27 24 78 72 80 78 24 25 77
 75 39 70 61 31 62 78 77 55 29 82 30 45 26 74 26 69 43 24 73 83 64 78 42 51
 58 52 43 84 27 29 80 26 33 59 31 32 25 66 79 28 77 65 31 27 25 28 32 28 61
 36 36 63 29 82 27 28 33 30 30 24 77 83]
1,52
2,79
3,58
4,79
5,73
6,67
7,56
8,41
9,66
10,60
11,26
12,60
13,69
14,46
15,28
16,68
17,27
18,79
19,80
20,82
21,76
22,26
23,70
24,80
25,75
26,42
27,74
28,24
29,28
30,27
31,64
32,34
33,23
34,41
35,30
36,70
37,80
38,78
39,63
40,78
41,53
42,75
43,82
44,33
45,66
46,49
47,39
48,26
49,25
50,57
51,25
52,79
53,24
54,48
55,34
56,83
57,75
58,76
59,24
60,60
61,68
62,73
63,40
64,61
65,24
66,28
67,27
68,24
69,78
70,72
71,80
72,78
73,24
74,25
75,77
76,75
77,39
78,70
79,61
80,31
81,62
82,78
83,77
84,55
85,29
86,82
87,30
88,45
89,26
90,74
91,26
92,69
93,43
94,24
95,73
96,83
97,64
98,78
99,42
100,51
101,58
102,52
103,43
104,84
105,27
106,29
107,80
108,26
109,33
110,59
111,31
112,32
113,25
114,66
115,79
116,28
117,77
118,65
119,31
120,27
121,25
122,28
123,32
124,28
125,61
126,36
127,36
128,63
129,29
130,82
131,27
132,28
133,33
134,30
135,30
136,24
137,77
138,83
